"codele";"codtse";"data";"hora";"apuracao";"turno";"fase";"ncand";"nome";"partido";"votabs";"votpor";"situacao";"cargo";"codibge";"uf";"regiao";"compilado"
"426";"07528";"15/11/2020";"22:07:57";" 100,00";"1";"o";"55";"LUIZA COUTINHO";"PSD - PSD / REPUBLICANOS";"2823";"  53,63";"Eleito";"prefeito";"2104073";"MA";"NE";2020-11-16 17:49:55
"426";"07536";"15/11/2020";"20:52:37";" 100,00";"1";"o";"25";"GILMA BARROS";"DEM";"1481";"  10,42";"Não eleito";"prefeito";"2102804";"MA";"NE";2020-11-16 17:49:55
"426";"07536";"15/11/2020";"20:52:37";" 100,00";"1";"o";"22";"DR ERIVELTON";"PL - PT / PL / AVANTE";"7269";"  51,16";"Eleito";"prefeito";"2102804";"MA";"NE";2020-11-16 17:49:55
"426";"07536";"15/11/2020";"20:52:37";" 100,00";"1";"o";"45";"JAYME FONSECA";"PSDB - PDT / MDB / PSDB / PSD";"5459";"  38,42";"Não eleito";"prefeito";"2102804";"MA";"NE";2020-11-16 17:49:55
"426";"07544";"15/11/2020";"21:38:06";" 100,00";"1";"o";"65";"VOVÓ CREZIA";"PC do B - PP / PC do B";"3690";"  46,13";"Não eleito";"prefeito";"2104081";"MA";"NE";2020-11-16 17:49:55
"426";"07544";"15/11/2020";"21:38:06";" 100,00";"1";"o";"12";"RAIMUNDA DO JOSEMAR";"PDT - PDT / MDB";"4310";"  53,88";"Eleito";"prefeito";"2104081";"MA";"NE";2020-11-16 17:49:55
"426";"07552";"15/11/2020";"22:02:35";" 100,00";"1";"o";"77";"DR AIRTON";"SOLIDARIEDADE - SOLIDARIEDADE / PC do B / PT";"6059";"  43,96";"Eleito";"prefeito";"2102903";"MA";"NE";2020-11-16 17:49:55
"426";"07552";"15/11/2020";"22:02:35";" 100,00";"1";"o";"10";"CORDEIRO DE DEUS";"REPUBLICANOS - REPUBLICANOS / PTC / PSL";"1708";"  12,39";"Não eleito";"prefeito";"2102903";"MA";"NE";2020-11-16 17:49:55
"426";"07552";"15/11/2020";"22:02:35";" 100,00";"1";"o";"70";"AMIN QUEMEL";"AVANTE - PL / AVANTE";"6017";"  43,65";"Não eleito";"prefeito";"2102903";"MA";"NE";2020-11-16 17:49:55
"426";"07560";"15/11/2020";"22:04:09";" 100,00";"1";"o";"22";"CIRINEU COSTA";"PL - REPUBLICANOS / PL / SOLIDARIEDADE";"5228";"  50,08";"Eleito";"prefeito";"2104099";"MA";"NE";2020-11-16 17:49:55
"426";"07560";"15/11/2020";"22:04:09";" 100,00";"1";"o";"12";"DR JANES CLEI";"PDT - PDT / PTB";"5212";"  49,92";"Não eleito";"prefeito";"2104099";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"18";"LUCIANO ALDRIN";"REDE";"112";"   0,14";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"65";"ADELMO SOARES";"PC do B - CIDADANIA / PROS / PDT / PSL / PC do B / SOLIDARIEDADE";"10334";"  13,01";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"20";"JÚNIOR MARTINS";"PSC - PMB / PSC";"2604";"   3,28";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
"426";"07579";"15/11/2020";"23:09:22";" 100,00";"1";"o";"50";"PROF ARNALDO RODRIGUES";"PSOL";"357";"   0,45";"Não eleito";"prefeito";"2103000";"MA";"NE";2020-11-16 17:49:55
